Company,Categories,Sentence
2023_Providence Health Plan.pdf,climate_risk,"the compliance and risk committee of php’s board is responsible for
climate risk governance as part of its delegated enterprise risk oversight and receives bi-annual updates
on material enterprise risks from the chief compliance & risk officer."
2023_Providence Health Plan.pdf,climate_risk,"in disclosing the
actual and potential impacts of climate-related risks and opportunities on the insurer's businesses,
strategy and financial planning, insurers should consider including the following:
+ describe the steps the insurer has taken to engage key constituencies on the topic
of climate risk and resiliency."
2023_Providence Health Plan.pdf,renewable_energy,php continues to maintain and improve the energy efficiency of its operations.
2023_Providence Health Plan.pdf,climate_risk,"plan response to risk management — narrative
climate risk is addressed by php’s established erm framework, which includes the annual enterprise
risk assessment process for identifying enterprise level risks having a material impact on php’s business."
2023_Providence Health Plan.pdf,climate_risk,"physical risks relating to
climate change are also addressed as part of business continuity and disaster recovery programs at
php, which addresses data loss prevention and recovery of critical business functions during unexpected
disruption."
2023_Providence Health Plan.pdf,climate_risk,"in disclosing the
‘metrics used by the insurer to assess climate-related risks and opportunities in line with
its strategy and risk management process, insurers should consider including the
following:
© indescribing the metrics used by the insurer to assess and monitor climate risks,
consider the amount of exposure to business lines, sectors, and geographies
vulnerable to climate-related physical risks [answer in absolute amounts and
percentages if possible], alignment with climate scenarios, [1 in 100 years
probable maximum loss, climate var, carbon intensity], and the amount of
financed or underwritten carbon emissions)
b. disclose scope 1, scope 2, and if appropriate, scope 3 greenhouse gas (ghg)
emissions, and the related risks."
2023_Puritan Life Insurance Company of America.pdf,climate_risk,"* describe the steps the insurer has taken to engage key constituencies on the topic of climate risk and
resiliency."
2023_Puritan Life Insurance Company of America.pdf,climate_risk,"response to strategy
plica environmental, social and governance (esg) efforts address climate risk and resiliency."
2023_Radian Guaranty Inc.pdf,climate_governance,"2... 22 eee 8
governance of climate change matters.................4
board oversight... 2... 0."
2023_Radian Guaranty Inc.pdf,climate_governance,"board oversight
our board is actively involved in the oversight of our corporate
responsibility program and practices that could affect the
company, including climate-related risks and opportunities."
2023_Radian Guaranty Inc.pdf,climate_risk,"4

q
we have identified three transition risks, representing those
risks associated with the transition to a decarbonized
economy."
2023_Radian Guaranty Inc.pdf,climate_risk,"in addition, we have identified two physical risks,
representing those risks associated with the physical impact
of climate change."
2023_Radian Guaranty Inc.pdf,climate_risk,"moving forward we aim to continuously enhance our climate risk assessment to ensure new and
evolving risks and opportunities associated with climate change are accurately identified, assessed
and accounted for throughout our business strategy and decision making."
2023_Reliance Standard Life Ins Co.pdf,climate_risk,"climate risk survey disclosure survey reporting year 2023
reliance standard life insurance company (naic# 3098 -68381)

first reliance standard insurance company (naic # 3098 - 71005)
standard security life insurance company of new york (naic # 3098-69078)"
2023_Reliance Standard Life Ins Co.pdf,climate_risk,"‘at the reliance companies’ level, their intermediate parent company, delphi financial group (delphi), has
designated its board of directors as the body responsible for overseeing climate risks at its subsidiaries, including
the reliance companies."
2023_Reliance Standard Life Ins Co.pdf,climate_risk,"delphi has also designated a member of its senior management; ie, its senior vice
president and chief risk officer, as responsible for management of climate risks."
2023_Reliance Standard Life Ins Co.pdf,climate_risk,"climate-
related risks include risks related to the physical impacts of climate change (physical risks) and risks related to
the transition to a decarbonized society (transition risks)."
2023_Reliance Standard Life Ins Co.pdf,climate_risk,"please see page 56 of the 2022 annual sustainability report for a graphic depicting examples of physical risks
and transition risks for each risk category in the tcfd recommendations, as well as examples of risks from the
group's business activities."
2023_Reliance Standard Life Ins Co.pdf,climate_risk,"read
the final climate risk guidance (which to a great extent remains subject to interpretation)."
2023_Reliance Standard Life Ins Co.pdf,climate_risk,understand the various climate risk guidance/regulation that will become full in-effect.
2023_Reliance Standard Life Ins Co.pdf,climate_risk,"discuss the climate scenarios utilized by the insurer to analyze risks on its investments, including
which risk factors are utilized, what types of scenarios are used, and what timeframes are considered,

response to risk management

tmhd conducts enterprise risk management (erm), which includes the management of climate risks."
2023_Reliance Standard Life Ins Co.pdf,climate_risk,"9

moreover, tokio marine dr and a team of experts in natural disasters working in atlanta, the united states, are
leading efforts to upgrade natural disaster risk management across the entire group, including various
evaluations of natural disaster risk models."
2023_Reliance Standard Life Ins Co.pdf,climate_risk,"the reliance companies’ intermediate parent, delphi financial group (delphi), has designated its board of
directors as the body responsible for overseeing climate risks at its subsidiaries, including the reliance
companies."
2023_Reliance Standard Life Ins Co.pdf,climate_risk,"delphi has also designated a member of its senior management; ie, its senior vice president and
chief risk officer, as responsible for management of climate risks, with whom information reported at the
reliance companies’ level will be shared and who will, in turn, report such information to delphi's board."
2023_Reliance Standard Life Ins Co.pdf,climate_risk,"delphi has incorporated climate risk into its risk management policy in addition to its investment guidelines
(which govern the investments of the reliance companies), and has initiated a plan to manage climate risks
through existing enterprise risk management functions, including risk assessment, compliance, internal control,
internal audit, and actuarial functions."
2023_Reliance Standard Life Ins Co.pdf,climate_risk,"in describing the metrics used by the insurer to assess and monitor climate risks, consider the amount
of exposure to business lines, sectors, and geographies vulnerable to climate-related physical risks

janswer in absolute amounts and percentages if possible], alignment with climate scenarios, [1 in 100
years probable maximum loss, climate var, carbon intensity], and the amount of financed or
underwritten carbon emissions."
2023_Reliance Standard Life Ins Co.pdf,biodiversity_nature,"the value of ecosystem services generated through the mangrove planting project over
the past 20 years (from april 1999 to the end of march 2019) has reached approximately 118.5 billion yen."
2023_Renaissance Life & Hlth Ins Co of Am.pdf,climate_risk,"kenworthy is responsible for assessing and reporting to the board on climate-related
risks, and for embedding climate risks into the company's risk management framework."
2023_Renaissance Life & Hlth Ins Co of Am.pdf,climate_risk,"effective risk management is one of the company's strategic plan initiatives which includes the continued
development of a formal esg program that includes climate risk management."
2023_Renaissance Life & Hlth Ins Co of Am.pdf,climate_risk,"as part of this process, the
chief risk officer works with the identified risk owners (i.e. those responsible for the oversight of climate risk
as it pertains to their functional areas) to incorporate ongoing assessment and quantification of climate risks
affecting the company."
2023_Renaissance Life & Hlth Ins Co of Am.pdf,climate_risk,"as part of the overall erm program, the company assesses and monitors each of the following
potential climate-related exposures, which have been deemed most relevant to the company's,
risk profile:
a) climate-related events adversely impacting company assets, operational expenses, or
reputational risks (“operational risk”);
b) climate events, trends or scenarios adversely impacting insurer’s competitive or
financial position (“strategic risk”);
©) climate risks or perceived risks of credits impact the values or liquidity of current or
future investments (investment & liquidity risk”);
d)"
2023_Renaissance Life & Hlth Ins Co of Am.pdf,climate_risk,"potential impact of climate change and associated risks on specified customer sectors
(“pricing & underwriting risk”);
e) reinsurer’s exposure to physical & transition risks (“credit risk”); and
)"
2023_Renaissance Life & Hlth Ins Co of Am.pdf,climate_risk,"the company's direct exposure to underwriting risk related to physical climate risks is very
limited, as it underwrites only group dental, vision, life and disability and individual dental and

vision products."
2023_Renaissance Life & Hlth Ins Co of Am.pdf,climate_risk,"the company monitors the geographic concentration of groups with potential
physical climate risk for its group life and disability blocks."
2023_Renaissance Life & Hlth Ins Co of Am.pdf,climate_risk,"the company also has limited its
exposure to sectors with inherently high levels of transition climate risk (gas, oil, mining,
chemicals, etc) in its life and disability blocks, as those sectors comprise less than 5% of the
block."
2023_Renaissance Life & Hlth Ins Co of Am.pdf,climate_risk,"for both the life and disability lines, the company has limited exposure to specific naics codes
that inherently have a higher level of potential exposure to climate-related risks, specifically transition risk,
and has limited exposure to those sectors to less than 5% of the block."
2023_Republic Mortgage Insurance Company.pdf,climate_risk,"our risk management process monitors and
manages climate risk and catastrophic events worldwide and |."
2023_Republic Mortgage Insurance Company.pdf,renewable_energy,"the company's risk management framework
includes our:
we are committed to improving our energy efficiency and
carbon footprint and in 2022, we set a target for reducing + risk philosophy and policies designed to address the
‘our absolute scope 1 and scope 2 emissions by 42% by 2030 ‘material risks confronting the company."
2023_Republic Mortgage Insurance Company.pdf,climate_risk,"comprised of our clo,
assessing key risks, including physical risks arising from 114 £56 investments steering committee meets quarterly."
2023_Republic Mortgage Insurance Company.pdf,climate_risk,"feedback included evaluations
analysis, we incorporate investee companies’ esg risk of natural catastrophe loss trends over the short-, medium-
ratings, including corporate governance, climate risk and long-terms that, in some instances, led us to adjust the
‘exposure, carbon reduction and workforce policies."
2023_Republic Mortgage Insurance Company.pdf,climate_risk,"transition risk: resulting from the global transition to a carbon-neutral or low-carbon economy.
?"
2023_Republic Mortgage Insurance Company.pdf,climate_risk,"physical risk: resulting from the direct damages caused by climate events.
?"
2023_Republic Mortgage Insurance Company.pdf,climate_risk,"our
long-term asset manager and owner, we integrate esg
comprehensive services include dedicated training, technical
factors into investment analysis and decision-making.
information and consulting solutions for reducing the risk of
through our fundamental analysis, we incorporate investee
fire and related carbon emissions, emergency response :
companies esg risk ratings, including corporate governance,
planning, flood emergency response plan development,
climate risk exposure, carbon reduction and workforce
hurricane preparedness and avoidance of risks commonly
policies."
2023_Republic Mortgage Insurance Company.pdf,climate_risk,"we continue to include
offer natural catastrophe coverage to help our customers
responsible investments in our alternative and liquid market
cope with climate risks."
2023_Republic Mortgage Insurance Company.pdf,sustainable_investment,"our green bond
may necessitate (re)insurance protection across many of our
investments increased 63% year-on-year."
2023_Republic Mortgage Insurance Company.pdf,climate_risk,"physical
corporate risk management risk metrics include analysis of the issuer's physical risk
management plans and exposures to major hazards that
climate change may make modeled outcomes less certain or might increase due to climate change."
2023_Republic Mortgage Insurance Company.pdf,climate_risk,"analysis of the relevant
climate risks and exposures, including scenario analysis
across our portfolio, is a part of this process."
2023_Republic Mortgage Insurance Company.pdf,biodiversity_nature,"more efficiently, these cookstoves save fuel,
decelerate deforestation in malawi and
2023 highlights of our emissions data: reduce health hazards associated with indoor
our total scope 1, 2 and 3 emissions increased by smoke pollution."
2023_Republic Mortgage Insurance Company.pdf,carbon_emissions,"in addition to our efforts to decarbonize our
operations, we also strive to neutralize our
remaining scope 1 and 2 emissions by purchasing
carbon offsets from verified high-quality projects
that generate positive impacts in local
communities, including:
+ a gold standard-certified project in uganda,
centered on rehabilitating non-functioning
boreholes to increase access to safe and clean
water."
"2023_Riverstone International Insurance, Inc. (Formerally Electric Insurance Company.pdf",climate_risk,"in disclosing the actual and potential impacts of climate-related risks and opportunities on the insurer's businesses,
strategy and financial planning, insurers should consider including the following:
+ describe the steps the insurer has taken to engage key constituencies on the topic of climate risk and resiliency."
"2023_Riverstone International Insurance, Inc. (Formerally Electric Insurance Company.pdf",climate_risk,"in disclosing the metrics used by the insurer to assess climate-related risks and opportunities in line with its strategy and
risk management process, insurers should consider including the following:
‘+ in describing the metrics used by the insurer to assess and monitor climate risks, consider the amount of
exposure to business lines, sectors, and geographies vulnerable to climate-related physical risks [answer in
absolute amounts and percentages if possible], alignment with climate scenarios, [1 in 100 years probable
maximum loss, climate var, carbon intensity], and the amount of financed or underwritten carbon
emissions."
2023_Rock Ridge Insurance Company.pdf,climate_risk,"rock ridge insurance company
california climate risk survey 2024
reporting year 2023
governance
1."
2023_Rock Ridge Insurance Company.pdf,climate_risk,"however,
climate risk is considered an emerging risk area in our overall enterprise risk management (“erm”) program."
2023_Rock Ridge Insurance Company.pdf,climate_risk,"the company will continue to work on implementing a strategic approach to managing climate risks that
consider both current and forward-looking risks and identify actions required to manage those risks
proportionate to our business's nature, scale, and complexity."
2023_Rock Ridge Insurance Company.pdf,climate_risk,"the company's board of directors at the holding company level is discussing designating
the chief risk officer who would be responsible for the company's climate risk management, overseeing the
financial impact of climate risks, reporting any activity to the executive committee at least annually, and
developing policies regarding risk appetite for the company."
2023_Rock Ridge Insurance Company.pdf,climate_risk,"the company provides a valuable product in an underserved
market subject to climate risk and weather events."
2023_Rock Ridge Insurance Company.pdf,climate_risk,"response:
the company is taking a balanced approach to managing climate risks that reflect and are consistent with
the structure, strategy, scale, and complexity of our business."
2023_Rock Ridge Insurance Company.pdf,climate_risk,"regardless, the company will analyze our climate risk on our balance sheet's underwriting and investment
sides."
2023_Rock Ridge Insurance Company.pdf,climate_risk,"in describing the metrics used by the insurer to assess and monitor climate risks, consider the
amount of exposure to business lines, sectors, and geographies vulnerable to climate-related
physical risks {answer in absolute amounts and percentages if possible], alignment with climate
scenarios, [1 in 100 years probable maximum loss, climate var, carbon intensity], and the
amount of financed or underwritten carbon emissions."
2023_Rock Ridge Insurance Company.pdf,climate_risk,"the company will consider which business areas are exposed to physical and transitional risks;
the materiality of the risks; whether affected areas should be continued, scaled back or adapted; and whether
climate risks require consideration across all business areas and processes based on their materiality, or only
those business areas and processes that are particularly exposed."
2023_Rock Ridge Insurance Company.pdf,climate_risk,"the company will use scenario analysis
and stress testing, where qualitative research determines that climate risks are potentially material."
2023_Root Ins Co.pdf,climate_risk,"naic climate risk disclosure survey
tcfd-aligned questions
updated 2022
governance

1."
2023_Root Ins Co.pdf,human_rights_labor,"company response: the board of directors has assigned oversight of risks, policies, strategies and
programs related to sustainability, corporate social responsibility, and governance to the nominating
and governance committee of the board."
2023_Root Ins Co.pdf,climate_risk,"describe the steps the insurer has taken to engage key constituencies on the topic of climate risk and
resiliency.”"
2023_Root Ins Co.pdf,climate_risk,"in disclosing the metrics used by the insurer to assess climate-related risks and opportunities in line with its
strategy and risk management process, insurers should consider including the following:

‘* in describing the metrics used by the insurer to assess and monitor climate risks, consider the
amount of exposure to business lines, sectors, and geographies vulnerable to climate-related
physical risks"
2023_Royal Neighbors of America.pdf,climate_risk,"naic climate risk survey
governance
1."
2023_Royal Neighbors of America.pdf,climate_risk,"given the society's size and complexity, it did not add climate risk to its list of enterprise risks for
2023."
2023_Royal Neighbors of America.pdf,climate_risk,"in disclosing the actual and potential impacts of climate-related risks and opportunities on the insurer's businesses, strategy and financial
planning, insurers should consider including the following:
‘+ describe the steps the insurer has taken to engage key constituencies on the topic of climate risk and resiliency."
2023_Royal Neighbors of America.pdf,climate_risk,"in describing the metrics used by the insurer to assess and monitor climate risks, consider the amount of exposure
to business lines, sectors, and geographies vulnerable to climate-related physical risks"
2023_SELECTIVE INS .pdf,climate_risk,overview of our approach to managing climate risks.
2023_SELECTIVE INS .pdf,climate_governance,"governance
board oversight: our board's oversight of climate-related risks and
opportunities."
2023_SELECTIVE INS .pdf,climate_risk,"the board
has six standing committees that oversee and report to the full board on certain major risks,
2

including climate risk."
2023_SELECTIVE INS .pdf,climate_risk,"the board also oversees how we set our overall strategy, including monitoring and
addressing climate risks and opportunities."
2023_SELECTIVE INS .pdf,climate_governance,"the graph below illustrates our three levels of corporate governance of enterprise risk
management:
board oversight at the highest level, through the executive committee, audit committee,
compensation and human capital committee, corporate governance and nominating
committee, finance and investments committee, and risk committee."
2023_SELECTIVE INS .pdf,climate_risk,"time horizon climate risks climate opportunities
‘producing renewable energy
* increased model uncertainty around
severe weather events resulting from ‘+ enhancing customer resiliency
short-term:
_ potentially higher catastrophe loss o retingueinemicntc
ve activity lower customers’ carbon footprint
‘+ investment opportunities
‘ potential investment losses from climate
‘medium-term: risicrelated impacts *"
2023_SELECTIVE INS .pdf,climate_risk,"developing new insurance products
5-10years _| insurance market transition risk tailored to emerging industries
regulatory risk
longterm: | cilmate change impact on frequency and
severity of weather events been corel vestenteprertin tes
10-30 years
*"
2023_SELECTIVE INS .pdf,climate_risk,"reinsurance risk
climate risks
1."
2023_SELECTIVE INS .pdf,climate_risk,"a significant component of climate risk is that the frequency
and severity of extreme weather events may evolve differently than historical levels —
leading to increased model uncertainty."
2023_SELECTIVE INS .pdf,climate_risk,"potential investment losses from climate risk-related impacts (medium-
term)"
2023_SELECTIVE INS .pdf,climate_risk,"our investment
portfolio is exposed to climate change risk through (i) direct physical loss to assets and
infrastructure from catastrophic loss activity and (ji) transition risk related to technology
and energy production advances that could lead to stranded assets in certain carbon-
intensive sectors."
2023_SELECTIVE INS .pdf,climate_risk,"transition risks may
lead to corporate asset devaluation and lower corporate profitability, property values,
and household wealth, creating financial and credit market losses impacting insurer
asset values."
2023_SELECTIVE INS .pdf,climate_risk,"3. insurance market transition risk (medium-term)
increased climate-related regulations and evolving consumer preferences could change
manufacturing and construction methods."
2023_SELECTIVE INS .pdf,sustainable_investment,"selective currently invests in green bonds and energy-transition-related infrastructure
instruments."
2023_SELECTIVE INS .pdf,sustainable_investment,"additional investment opportunities (long-term)
we believe the transition to a low-carbon economy will provide new investment
‘opportunities, such as green bonds or investments in energy-transition-related
infrastructure instruments."
2023_SELECTIVE INS .pdf,climate_risk,"+ we are assessing the incorporation of value-added services within our commercial
lines, personal lines, and flood operations that will better prepare our customers
for potentially heightened environmental and climate risks."
2023_SELECTIVE INS .pdf,climate_risk,"investments
our investment portfolio is exposed to climate change risk through (i) direct physical loss to
assets and infrastructure from catastrophic loss activity and (ii) transition risk related to
technology and energy production advances that could lead to stranded assets in certain
carbon-intensive sectors."
2023_SELECTIVE INS .pdf,climate_risk,"physical risks: our investment managers take a conservative approach when investing in
commercial and residential real estate products that are potentially vulnerable to climate
change-related risks."
2023_SELECTIVE INS .pdf,climate_risk,"transition risk: we also monitor our exposure to specific carbon-intensive sectors defined
by the paris agreement capital transition assessment (pacta) as vulnerable to longer-
term climate change transition risks."
2023_SELECTIVE INS .pdf,climate_risk,"we review multiple models from various vendors
over several time periods to understand our catastrophic risk, including physical risks that
may materialize more frequently because of climate change."
2023_SELECTIVE INS .pdf,climate_risk,"based on our assessment, we are
more vulnerable to physical climate risks than transitional risks."
2023_SELECTIVE INS .pdf,climate_risk,selective measures and reports on climate risks and opportunities in several different ways.
2023_SFM Mut Ins Co.pdf,climate_risk,"sfm mutual insurance company
ye 2023 naic climate risk disclosure survey
governance — narrative
1."
2023_SFM Mut Ins Co.pdf,climate_risk,"describe the steps the insurer has taken to engage key constituencies on the topic of climate risk and
resiliency.*i
+ describe the insurer's plan to assess, reduce, or mitigate its greenhouse gas emissions in its
operations or organizations."
2023_SFM Mut Ins Co.pdf,climate_risk,"has the insurer taken steps to engage key constituencies on the topic of climate risk and resiliency?
(y/n) n
‘* does the insurer provide products or services to support the transition to a low carbon economy or
help customers adapt to climate risk?"
2023_SFM Mut Ins Co.pdf,climate_risk,"in disclosing the metrics used by the insurer to assess climate-related risks and opportunities in line with
its strategy and risk management process, insurers should consider including the following
‘+ in describing the metrics used by the insurer to assess and monitor climate risks, consider the amount
of exposure to business lines, sectors, and geographies vulnerable to climate-related physical risks"
2023_SFM Mut Ins Co.pdf,climate_risk,"climate risk primarily resides in the catastrophe modeling component, of which the
impact is de minimis to sem given geography and line of business."
2023_SILAC Insurance Company.pdf,climate_risk,"as such, climate risks do not directly affect our lines of business,

including underwriting and pricing, and the company has determined that its risk exposure to climate change is small and
indirect
in disclosing the insurer's governance around climate-related risks and opportunities insurers should consider
including the following:

‘* identify and include any publicly stated goals on climate-related risks and opportunities."
2023_SILAC Insurance Company.pdf,climate_risk,"describe the steps the insurer has taken to engage key constituencies on the topic of climate risk and
resiliency,
as the company's product offerings at this time are limited to annuities, the company has not engaged with its
constituencies on climate change-related risks as a traditional property insurer would, nor have they looked to the
company for guidance in this area."
2023_SILAC Insurance Company.pdf,climate_risk,silac measures the investment portfolio's climate risk by measuring each security's esg score.
2023_SILAC Insurance Company.pdf,climate_risk,"specific to climate risk, the bloomberg score measures the
issuer's energy, water, and emissions management as well as its product's sustainability."
2023_SILAC Insurance Company.pdf,climate_risk,"in describing the metrics used by the insurer to assess and monitor climate risks, consider the amount of
exposure to business lines, sectors, and geographies vulnerable to climate-related physical risks"
2023_SUNZ Ins Co.pdf,climate_risk,"sunz insurance company ~ resposne
august 21, 2024
page 1 of 10
‘california climate risk disclosure survey
sunz insurance company ~"
2023_SUNZ Ins Co.pdf,climate_risk,"sunz insurance continues to be proactive in their underwriting
the topic of climate risk and resiliency."
2023_SUNZ Ins Co.pdf,climate_risk,"+ in describing the metrics used by the insurer to assess and monitor rk exposure, allowing sun tomake informed decisions about its
climate risks, consider the amount of exposure to business lines, sectors, uture strategies."
2023_SUNZ Ins Co.pdf,climate_risk,"specifically, risk analytics software can analyze
and geographies vulnerable to climate-related physical risks"
2023_Safepoint Ins Co.pdf,climate_risk,"describe the steps the insurer has taken to engage key constituencies on the topic of climate risk
and resiliency."
2023_Safepoint Ins Co.pdf,climate_risk,"climate risks are
inherent to safepoint’s business model of insuring properties in coastal areas."
2023_Safepoint Ins Co.pdf,climate_risk,"strategy - closed ended questions answered in addition to the narrative
‘* has the insurer taken steps to engage key constituencies on the topic of climate risk and resiliency?
(v/n) *"
2023_Safepoint Ins Co.pdf,climate_risk,"* does the insurer provide products or services to support the transition to a low
carbon economy or help customers adapt to climate risk?"
2023_Safepoint Ins Co.pdf,climate_risk,"+ in describing the metrics used by the insurer to assess and monitor climate risks, consider
the amount of exposure to business lines, sectors, and geographies vulnerable to climate-related
physical risks [answer in absolute amounts and percentages if possible], alignment with climate
scenarios, [1 in 100 years probable maximum loss, climate var, carbon intensity], and the amount of
financed or underwritten carbon emissions."
2023_Safepoint Ins Co.pdf,climate_risk,"(y/n)

1 asterisks represent questions derived from the original climate risk disclosure survey."
2023_Safety Natl Cas Corp.pdf,climate_risk,"in tokio marine holding’s

climate risk survey form

governance structure, each relevant execution body voluntarily promotes initiatives under the
supervision of the board of directors."
2023_Safety Natl Cas Corp.pdf,climate_risk,"[division dedicated to promoting sustainability]

climate risk survey form."
2023_Safety Natl Cas Corp.pdf,climate_risk,"tcfd report

climate risk survey form."
2023_Safety Natl Cas Corp.pdf,climate_risk,"in disclosing the actual and potential impacts of climate-related risks and opportunities on the
insurer’s businesses, strategy and financial planning, insurers should consider including the
following:

‘* describe the steps the insurer has taken to engage key constituencies on the topic of climate risk
and resiliency."
2023_Safety Natl Cas Corp.pdf,climate_risk,"within the underwriting

review process and natural catastrophe modeling process, the insureds risk management policies and

climate risk survey form.
procedures, including any climate-related information or how customers adapt to climate-related risk, is
available for review."
2023_Safety Natl Cas Corp.pdf,climate_risk,"climate-related risks

climate risk survey form.
include physical risks and transition risks."
2023_Safety Natl Cas Corp.pdf,climate_risk,"physical risks arise from an increase in the frequency and
intensity of natural disasters caused by climate change, while transition risks result from the impacts of
the transition to a decarbonized society on the corporate value of investee companies and assets held
by us."
