ticker,file,sentence,sentiment,type,quarter,year
PGR,PGR_3Q13.pdf,"We feel comfortable with
that  We always want enough for contingencies, and it looks like we have escaped an active hurricane
season for this year","{'neg': 0.0, 'neu': 0.682, 'pos': 0.318, 'compound': 0.8316}",earnings call,3Q,2013
PGR,PGR_3Q13.pdf,"We always want enough for contingencies, and it looks like we have escaped an active hurricane
season for this year  So we're beyond that","{'neg': 0.0, 'neu': 0.764, 'pos': 0.236, 'compound': 0.6705}",earnings call,3Q,2013
PGR,PGR_3Q17.pdf,"Before we get started at the topic
of the hand, I wanted to reflect a little bit about the last quarter, specifically with Harvey and Irma, two
names I think all of us are very familiar with based on this very, very active hurricane season 
As you know from my letter, several of us went down to both Florida and Texas just to get some insights
into how our employees are doing, do they have the right resources to help our customers and get some
insights into our customers and what they need from us","{'neg': 0.0, 'neu': 0.909, 'pos': 0.091, 'compound': 0.847}",earnings call,3Q,2017
PGR,PGR_3Q17.pdf,"The second tower here for a Florida event assumes a $1 billion event for the first event  The FHCF Florida
Hurricane Catastrophe Fund is not reinstatable, so that would be not available for a second event, even
given that fact, we have $1","{'neg': 0.095, 'neu': 0.905, 'pos': 0.0, 'compound': -0.6597}",earnings call,3Q,2017
PGR,PGR_3Q17.pdf,"The FHCF Florida
Hurricane Catastrophe Fund is not reinstatable, so that would be not available for a second event, even
given that fact, we have $1 2 billion available in the event of a second event and our retention is $50
million","{'neg': 0.097, 'neu': 0.903, 'pos': 0.0, 'compound': -0.6597}",earnings call,3Q,2017
PGR,PGR_3Q17.pdf,"We are seeing a couple
competitors raising rates higher than we are  And so we believe that the hard market will continue to
persist, I think especially after the hurricanes","{'neg': 0.046, 'neu': 0.954, 'pos': 0.0, 'compound': -0.1027}",earnings call,3Q,2017
PGR,PGR_3Q17.pdf,"And so we believe that the hard market will continue to
persist, I think especially after the hurricanes  So I won't speak of specific competitors","{'neg': 0.055, 'neu': 0.945, 'pos': 0.0, 'compound': -0.1027}",earnings call,3Q,2017
PGR,PGR_3Q19.pdf,"So we rely pretty
heavily on models to do that  The models for hurricane performed pretty well","{'neg': 0.0, 'neu': 0.615, 'pos': 0.385, 'compound': 0.83}",earnings call,3Q,2019
PGR,PGR_3Q19.pdf,"The models for hurricane performed pretty well  But what we've found as
we've dug into this problem was that most of the tools we had been using for severe convective storms, so
thunderstorms that cause wind and hail","{'neg': 0.166, 'neu': 0.722, 'pos': 0.112, 'compound': -0.6692}",earnings call,3Q,2019
PGR,PGR_3Q12.pdf,"So we've got about 6,000 claims, that's a little higher than the number I had last
night, but I suspect that, that's well on its way to that number  Think of that as 2/3 flood, 1/3 wind","{'neg': 0.068, 'neu': 0.804, 'pos': 0.128, 'compound': 0.1154}",earnings call,3Q,2012
PGR,PGR_3Q12.pdf,"Think of that as 2/3 flood, 1/3 wind  About
just short of 80% of it is New York, New Jersey, the rest would be another 10% Pennsylvania, Connecticut,
and then obviously, other states that you all know are affected","{'neg': 0.04, 'neu': 0.96, 'pos': 0.0, 'compound': -0.1531}",earnings call,3Q,2012
PGR,PGR_3Q12.pdf,"And, but when we think
we have more than we need for that plus contingent purposes, such as hurricanes, we will return it  And
so that was a major driver for why we decided to clear the special dividend of $1","{'neg': 0.0, 'neu': 0.849, 'pos': 0.151, 'compound': 0.7876}",earnings call,3Q,2012
PGR,PGR_3Q21.pdf,"During our second quarter call, we discussed the challenges we were facing as our customers return to normal driving
habits as the country opens in the pandemic and as supply constraints contributed to an unprecedented increase in
vehicle valuation  In the third quarter, those challenges continued with the added effect of the most expensive storm in
Progressive's history, Hurricane Ida","{'neg': 0.0, 'neu': 0.921, 'pos': 0.079, 'compound': 0.4404}",earnings call,3Q,2021
PGR,PGR_3Q21.pdf,"In the third quarter, those challenges continued with the added effect of the most expensive storm in
Progressive's history, Hurricane Ida  The result of these challenges is our first quarter with an above 100 CR in 20 years","{'neg': 0.0, 'neu': 0.933, 'pos': 0.067, 'compound': 0.1531}",earnings call,3Q,2021
PGR,PGR_3Q24.pdf,"Our
year-to-date combined ratio through Q3 was very strong  Though the cost of Hurricane Milton are not
reflected in our Q3 numbers, 2024 is still shaping up to be one of the best non-pandemic years in our
history","{'neg': 0.0, 'neu': 0.822, 'pos': 0.178, 'compound': 0.8313}",earnings call,3Q,2024
PGR,PGR_3Q24.pdf,"Though the cost of Hurricane Milton are not
reflected in our Q3 numbers, 2024 is still shaping up to be one of the best non-pandemic years in our
history 
Growing at our pace with record profits is a testament to the investment we've made in segmentation
over the years","{'neg': 0.0, 'neu': 0.839, 'pos': 0.161, 'compound': 0.8316}",earnings call,3Q,2024
PGR,PGR_3Q24.pdf,"The third quarter results in property were excellent at a 78 5% combined ratio after almost
30 points of favorable development on storms from the first half of the year and despite the 21 points of
losses incurred by Hurricane Helene","{'neg': 0.057, 'neu': 0.8, 'pos': 0.143, 'compound': 0.6249}",earnings call,3Q,2024
PGR,PGR_3Q24.pdf,"5% combined ratio after almost
30 points of favorable development on storms from the first half of the year and despite the 21 points of
losses incurred by Hurricane Helene  However, 2 hurricanes striking Florida only a week apart, underscores
our need to risk adjust our property business","{'neg': 0.091, 'neu': 0.851, 'pos': 0.059, 'compound': -0.1779}",earnings call,3Q,2024
PGR,PGR_3Q24.pdf,"However, 2 hurricanes striking Florida only a week apart, underscores
our need to risk adjust our property business  Our efforts here are evident with Q3 PIF growth in what we
consider to be less volatile weather-related states of 19% compared to a decrease of 9% in the volatile
weather states","{'neg': 0.04, 'neu': 0.911, 'pos': 0.049, 'compound': 0.128}",earnings call,3Q,2024
PGR,PGR_3Q24.pdf,"We signaled this a while ago, but I
feel very good about where we're at  But clearly, having 2 huge hurricanes, less than a week apart, really
elevates what our plan has been for a while and what would be in the future","{'neg': 0.0, 'neu': 0.788, 'pos': 0.212, 'compound': 0.8954}",earnings call,3Q,2024
PGR,PGR_3Q24.pdf,"But clearly, having 2 huge hurricanes, less than a week apart, really
elevates what our plan has been for a while and what would be in the future 
Operator
Our next question comes from the line of Gregory Peters","{'neg': 0.0, 'neu': 0.851, 'pos': 0.149, 'compound': 0.7579}",earnings call,3Q,2024
PGR,PGR_3Q22.pdf,"When our customers interact with us, they're often doing so on
their worst day, maybe their vehicle has just stall in, maybe they were injured in a car accident or their property damage was analyzed 
This fact comes into even sharper focus during major catastrophes such as Hurricane Ian","{'neg': 0.256, 'neu': 0.744, 'pos': 0.0, 'compound': -0.9345}",earnings call,3Q,2022
PGR,PGR_3Q22.pdf,"This fact comes into even sharper focus during major catastrophes such as Hurricane Ian  While watching the footage of devastation,
my heart went out to all those who were affected by the storm","{'neg': 0.114, 'neu': 0.777, 'pos': 0.109, 'compound': 0.2023}",earnings call,3Q,2022
PGR,PGR_3Q22.pdf,"Needless to say, I'm very proud of so many  Well, Hurricane Ian was the largest single event in the third
quarter, it was not the whole story","{'neg': 0.0, 'neu': 0.812, 'pos': 0.188, 'compound': 0.6976}",earnings call,3Q,2022
PGR,PGR_3Q22.pdf,"Well, Hurricane Ian was the largest single event in the third
quarter, it was not the whole story  Excluding catastrophe losses, our third quarter company-wide combined ratio improved 1","{'neg': 0.19, 'neu': 0.67, 'pos': 0.139, 'compound': -0.4404}",earnings call,3Q,2022
PGR,PGR_3Q22.pdf,"In last quarter's call, we spent considerable time talking about our property business and efforts we are taking to return to profitable
growth  The losses incurred from Hurricane Ian further highlight the need to shift our mix to less volatile state","{'neg': 0.057, 'neu': 0.777, 'pos': 0.166, 'compound': 0.6369}",earnings call,3Q,2022
PGR,PGR_3Q22.pdf,"The losses incurred from Hurricane Ian further highlight the need to shift our mix to less volatile state  As expected, PIF
growth in properties slowed in the quarter as we make progress in this multiyear goal","{'neg': 0.064, 'neu': 0.753, 'pos': 0.184, 'compound': 0.6249}",earnings call,3Q,2022
PGR,PGR_3Q22.pdf,"So we will continue to watch that  And I think especially, we will watch it based on the fact that there are a lot of total losses that
have happened in Florida with Hurricane Ian so that could even increase demand","{'neg': 0.1, 'neu': 0.848, 'pos': 0.051, 'compound': -0.2944}",earnings call,3Q,2022
PGR,PGR_3Q22.pdf,"And I think especially, we will watch it based on the fact that there are a lot of total losses that
have happened in Florida with Hurricane Ian so that could even increase demand 
So we try to break out as much as we can","{'neg': 0.092, 'neu': 0.861, 'pos': 0.047, 'compound': -0.2944}",earnings call,3Q,2022
PGR,PGR_3Q22.pdf,"We're going to try to grow as fast as we can  Obviously, with the hurricane, we're over 96
but we have a few months to go, and we're going to continue to try to leverage this really unique opportunity to get growth while still
maintaining our 96 combined ratio","{'neg': 0.0, 'neu': 0.862, 'pos': 0.138, 'compound': 0.8185}",earnings call,3Q,2022
PGR,PGR_3Q22.pdf,"Obviously, with the hurricane, we're over 96
but we have a few months to go, and we're going to continue to try to leverage this really unique opportunity to get growth while still
maintaining our 96 combined ratio 
In fact, in September, we had our lowest cost per sale since 2017","{'neg': 0.058, 'neu': 0.815, 'pos': 0.128, 'compound': 0.627}",earnings call,3Q,2022
PGR,PGR_3Q22.pdf,"So we knew that there would be less than 60,000 policies and it would take a little bit longer  And then, of course, enter Hurricane Ian,
and there's been a moratorium on non-renews and cancellations from September 28 to November 28 so we won't be able to non-renew
any until after that is lifted -- those executive orders are lifted","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",earnings call,3Q,2022
PGR,PGR_3Q22.pdf,"And then, of course, enter Hurricane Ian,
and there's been a moratorium on non-renews and cancellations from September 28 to November 28 so we won't be able to non-renew
any until after that is lifted -- those executive orders are lifted  So suffice it to say that it's going to take us a little bit longer to de-risk
and we get that, and we'll continue to update everyone as that happens","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",earnings call,3Q,2022
PGR,PGR_3Q22.pdf,"And again, it takes some
time because there's still a supply-demand issue  We're going to wait to see what happens with Hurricane Ian","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",earnings call,3Q,2022
PGR,PGR_3Q22.pdf,"We're going to wait to see what happens with Hurricane Ian  And we are seeing labor
up about 3%, parts are up about 4% to 5%","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",earnings call,3Q,2022
PGR,PGR_3Q22.pdf,"But that again,
with the exception of some travel and some hotels and stuff, we already have that baked in because we already have a certain number
of claims people on our books and a certain number of claims will happen  And when a hurricane happens, that doesn't necessarily
flex up because of that","{'neg': 0.0, 'neu': 0.859, 'pos': 0.141, 'compound': 0.7351}",earnings call,3Q,2022
PGR,PGR_3Q22.pdf,"And when a hurricane happens, that doesn't necessarily
flex up because of that  We already have a CAT team","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",earnings call,3Q,2022
PGR,PGR_3Q23.pdf,"After reinsurance, our property catastrophe losses in the third quarter were 28 points lower than the first
6 months of the year  And while Hurricane Idalia was devastating to the people in this path of destruction,
the density of homes and autos we insured in that path was relatively low","{'neg': 0.306, 'neu': 0.694, 'pos': 0.0, 'compound': -0.9607}",earnings call,3Q,2023
PGR,PGR_3Q23.pdf,"And while Hurricane Idalia was devastating to the people in this path of destruction,
the density of homes and autos we insured in that path was relatively low THE PROGRESSIVE CORPORATION FQ3 2023 EARNINGS CALL  NOV 01, 2023
Copyright © 2023 S&P Global Market Intelligence, a division of S&P Global Inc","{'neg': 0.168, 'neu': 0.781, 'pos': 0.051, 'compound': -0.7906}",earnings call,3Q,2023
PGR,PGR_4Q16.pdf,"The stop loss -- to do that, it was a simple consideration of getting additional coverage for
a reasonable cost  While the aggregate stop loss doesn't include named storms and liability, it includes
other parallels, such as winter storm, wildfire and earthquake","{'neg': 0.226, 'neu': 0.774, 'pos': 0.0, 'compound': -0.8316}",earnings call,4Q,2016
PGR,PGR_4Q16.pdf,"While the aggregate stop loss doesn't include named storms and liability, it includes
other parallels, such as winter storm, wildfire and earthquake  The previous aggregate was limited to just
severe thunderstorms","{'neg': 0.293, 'neu': 0.707, 'pos': 0.0, 'compound': -0.8316}",earnings call,4Q,2016
PGR,PGR_4Q16.pdf,"I mean, it's been a very, very easy winter
for most of the country  Is that helping Auto losses in January, February? And then also, San Jose, there
was flooding","{'neg': 0.076, 'neu': 0.763, 'pos': 0.16, 'compound': 0.4536}",earnings call,4Q,2016
PGR,PGR_4Q20.pdf,"com/marketintelligence 5the policy term  Our property business had a profitable fourth quarter, but with the 2020 Atlantic hurricane season being
the most active on record, it recognized an underwriting loss for the full year","{'neg': 0.074, 'neu': 0.777, 'pos': 0.149, 'compound': 0.4569}",earnings call,4Q,2020
PGR,PGR_4Q20.pdf,"And we tried to
obviously put a load in for those events  And last year was another unprecedented year of hurricanes","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",earnings call,4Q,2020
PGR,PGR_4Q20.pdf,"And last year was another unprecedented year of hurricanes  So I'm happy with
the product","{'neg': 0.0, 'neu': 0.779, 'pos': 0.221, 'compound': 0.6096}",earnings call,4Q,2020
PGR,PGR_4Q20.pdf,"I hate using that word again  But the hurricane season last
year was immense in terms of numbers and the numbers that made landfall","{'neg': 0.093, 'neu': 0.907, 'pos': 0.0, 'compound': -0.3291}",earnings call,4Q,2020
PGR,PGR_4Q20.pdf,"But the hurricane season last
year was immense in terms of numbers and the numbers that made landfall  And then, of course, rarely do get a winter
storm like we had a few weeks ago","{'neg': 0.0, 'neu': 0.913, 'pos': 0.087, 'compound': 0.5023}",earnings call,4Q,2020
PGR,PGR_4Q19.pdf,"I can't go over his
whole resume, but he's ran marketing, product development and many, many products along the way 
And we asked him to take over as the Property GM right after Hurricane Irma in 2017, and he's been down
there since, doing a fantastic job","{'neg': 0.0, 'neu': 0.904, 'pos': 0.096, 'compound': 0.7096}",earnings call,4Q,2019
PGR,PGR_4Q19.pdf,"And we asked him to take over as the Property GM right after Hurricane Irma in 2017, and he's been down
there since, doing a fantastic job  He's a great story to tell","{'neg': 0.0, 'neu': 0.801, 'pos': 0.199, 'compound': 0.8271}",earnings call,4Q,2019
PGR,PGR_4Q19.pdf,"Now that expansion also means that we are now exposed in a bigger way to new perils, especially wind
and hail  If you look at the components of our loss ratio over the last few years, the orange part of these
bars is wind and hail, the gray part at the top is hurricane losses and then the blue part at the bottom is
all other perils that the property policy covers","{'neg': 0.082, 'neu': 0.858, 'pos': 0.061, 'compound': -0.3892}",earnings call,4Q,2019
PGR,PGR_4Q19.pdf,"If you look at the components of our loss ratio over the last few years, the orange part of these
bars is wind and hail, the gray part at the top is hurricane losses and then the blue part at the bottom is
all other perils that the property policy covers 
So you see that, that all other perils section has been stable and predictable","{'neg': 0.071, 'neu': 0.853, 'pos': 0.075, 'compound': -0.1779}",earnings call,4Q,2019
PGR,PGR_4Q19.pdf,"So in the early years, ASI was ceding a lot of premium to our reinsurance partners  We didn't have
any hurricanes making landfall in those years","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",earnings call,4Q,2019
PGR,PGR_4Q19.pdf,"We didn't have
any hurricanes making landfall in those years  So we weren't ceding any losses","{'neg': 0.0, 'neu': 0.869, 'pos': 0.131, 'compound': 0.3089}",earnings call,4Q,2019
PGR,PGR_4Q19.pdf,"The gray line shows the industry, but with the industry premium -- state premium weighted based
on the ASI and Progressive Home mix  So in the early years there, you see that it was mostly Florida
premium and no hurricanes, very little loss ratios","{'neg': 0.12, 'neu': 0.88, 'pos': 0.0, 'compound': -0.6935}",earnings call,4Q,2019
PGR,PGR_4Q19.pdf,"So in the early years there, you see that it was mostly Florida
premium and no hurricanes, very little loss ratios  As we've expanded into other states, we should expect
to see the loss ratio be higher than a no storm here in Florida, but would still been at or a little bit below
the industry result","{'neg': 0.109, 'neu': 0.891, 'pos': 0.0, 'compound': -0.5412}",earnings call,4Q,2019
PGR,PGR_4Q19.pdf,"Because weather is very
volatile, we can't use last years' experience as a good predictor for next year's claims  It wouldn't make
any sense to say, ""Hey, we haven't had a hurricane for 3 years, so we don't have to price anything for
hurricane","{'neg': 0.0, 'neu': 0.937, 'pos': 0.063, 'compound': 0.4404}",earnings call,4Q,2019
PGR,PGR_4Q19.pdf,"It wouldn't make
any sense to say, ""Hey, we haven't had a hurricane for 3 years, so we don't have to price anything for
hurricane "" We have pretty good models for -- to help us understand what our likely hurricane losses will
be","{'neg': 0.052, 'neu': 0.777, 'pos': 0.171, 'compound': 0.7269}",earnings call,4Q,2019
PGR,PGR_4Q19.pdf,""" We have pretty good models for -- to help us understand what our likely hurricane losses will
be  Until recently, we only had 2 models available to predict severe convective storms","{'neg': 0.129, 'neu': 0.657, 'pos': 0.214, 'compound': 0.5423}",earnings call,4Q,2019
PGR,PGR_4Q19.pdf,"We maintain a very conservative insurance
program and intend to continue that  On the catastrophe side, it's designed to provide coverage for
3 major hurricanes in a single year","{'neg': 0.136, 'neu': 0.864, 'pos': 0.0, 'compound': -0.6597}",earnings call,4Q,2019
PGR,PGR_4Q19.pdf,"On the catastrophe side, it's designed to provide coverage for
3 major hurricanes in a single year  So on the far left, you see the coverage available for a first event
in Florida","{'neg': 0.121, 'neu': 0.879, 'pos': 0.0, 'compound': -0.6597}",earnings call,4Q,2019
PGR,PGR_4Q19.pdf,"So the way the program is structured today, we retain the first $60 million of losses from
a single event  The gray part in the middle there is the Florida Hurricane Catastrophe Fund, that's
a state reinsurance fund that we're required to participate in and do","{'neg': 0.139, 'neu': 0.861, 'pos': 0.0, 'compound': -0.7964}",earnings call,4Q,2019
PGR,PGR_4Q19.pdf,"The gray part in the middle there is the Florida Hurricane Catastrophe Fund, that's
a state reinsurance fund that we're required to participate in and do  And then the blue section is
voluntary market reinsurance that we buy","{'neg': 0.106, 'neu': 0.894, 'pos': 0.0, 'compound': -0.6597}",earnings call,4Q,2019
PGR,PGR_4Q21.pdf,"States have unique weather patterns that impact loss costs  For example, hill states differ from hurricane states, and we
use different weather loads in these states","{'neg': 0.084, 'neu': 0.916, 'pos': 0.0, 'compound': -0.3182}",earnings call,4Q,2021
PGR,PGR_4Q21.pdf,"For example, hill states differ from hurricane states, and we
use different weather loads in these states 
Claims processes are different by state, and we keep improving them to make sure we are paying accurately","{'neg': 0.0, 'neu': 0.866, 'pos': 0.134, 'compound': 0.6249}",earnings call,4Q,2021
PGR,PGR_4Q22.pdf,"2022 was among the toughest years of Progressive's 85 years  The continued
effects of the pandemic, high inflation and the largest hurricane in our history all played a role in a tumultuous environment","{'neg': 0.037, 'neu': 0.893, 'pos': 0.069, 'compound': 0.2732}",earnings call,4Q,2022
PGR,PGR_4Q22.pdf,"The continued
effects of the pandemic, high inflation and the largest hurricane in our history all played a role in a tumultuous environment 
Throughout these challenges, Progressive people came together in unity and delivered once again beating our goal of a calendar year
'96 combined ratio while growing both written premiums and policies in force","{'neg': 0.051, 'neu': 0.859, 'pos': 0.091, 'compound': 0.1027}",earnings call,4Q,2022
PGR,PGR_4Q23.pdf,"Commission revenue is a
predictable annuity and has minimal exposure to the loss and cat risks that come along with underwriting
insurance policies directly  This includes prominent risks such as weather and natural disasters","{'neg': 0.235, 'neu': 0.653, 'pos': 0.112, 'compound': -0.6486}",earnings call,4Q,2023
PGR,PGR_4Q23.pdf,"This includes prominent risks such as weather and natural disasters 
As agency compensation is really directly impacted by these risk exposures, this serves as a
complementary source of revenue to our standard underwriting operation","{'neg': 0.188, 'neu': 0.697, 'pos': 0.115, 'compound': -0.4588}",earnings call,4Q,2023
ALL,ALL_1Q08.pdf,"This increase was primarily related to severe winter weather experienced across
the country, in part due to unusually high tornado activity 
Included in those quarter cat loses was $117 million of prior year reserve strengthening related to
litigation in the Louisiana for hurricane Katrina","{'neg': 0.131, 'neu': 0.762, 'pos': 0.107, 'compound': -0.0516}",earnings call,1Q,2008
ALL,ALL_1Q08.pdf,"Included in those quarter cat loses was $117 million of prior year reserve strengthening related to
litigation in the Louisiana for hurricane Katrina  As you may recall the deadline for filing litigation in
Louisiana was August of 2007","{'neg': 0.137, 'neu': 0.789, 'pos': 0.074, 'compound': -0.1779}",earnings call,1Q,2008
ALL,ALL_1Q09.pdf,"com/marketintelligence 10So it is really more of the weather related losses  If you adjust for the reserve changes that we took in
the first quarter our cat losses in the first quarter were the worst that they’ve been since the Northridge
earthquake in 1994","{'neg': 0.188, 'neu': 0.812, 'pos': 0.0, 'compound': -0.8591}",earnings call,1Q,2009
ALL,ALL_1Q09.pdf,"If you adjust for the reserve changes that we took in
the first quarter our cat losses in the first quarter were the worst that they’ve been since the Northridge
earthquake in 1994  And so there is a spillover from adverse weather in the non-cat category also","{'neg': 0.174, 'neu': 0.826, 'pos': 0.0, 'compound': -0.8519}",earnings call,1Q,2009
ALL,ALL_1Q11.pdf,"First, I would
say if you look over a longer period of time, let's say 10 years, what we had -- 10 years ago, we saw an
increase in the number of severe storms called hurricanes  Over the last 4 years, we've seen a dramatic
increase in what we would call non-model Cats, which are any large severe storms, catastrophes that
are not modeled by the catastrophe models called hurricanes, earthquakes","{'neg': 0.119, 'neu': 0.807, 'pos': 0.073, 'compound': -0.6908}",earnings call,1Q,2011
